N,종목명,현재가,전일비,등략률,액면가,시가총액,상장주식주,외국인비율,거레량,PER,ROE
1,삼성전자,"60,400","-1,600",-2.58%,100,"3,605,749","5,969,783",49.93,"21,002,334",9.16,13.92,
2,LG에너지솔루션,"605,000","6,000",+1.00%,500,"1,415,700","234,000",4.97,"379,332","1,004.98",10.68,
3,SK하이닉스,"89,100",-100,-0.11%,"5,000","648,650","728,002",50.90,"3,344,599",5.65,16.84,
4,삼성바이오로직스,"907,000","12,000",+1.34%,"2,500","645,548","71,174",10.75,"71,694",120.63,8.21,
5,삼성SDI,"725,000","-13,000",-1.76%,"5,000","498,543","68,765",46.98,"313,976",33.82,8.45,
6,LG화학,"695,000","-20,000",-2.80%,"5,000","490,617","70,592",48.34,"243,333",24.50,18.47,
7,삼성전자우,"55,500","-1,000",-1.77%,100,"456,702","822,887",71.66,"1,078,682",8.42,N/A,
8,현대차,"169,500",0,0.00%,"5,000","362,168","213,668",28.96,"1,014,258",7.52,6.84,
9,NAVER,"176,000","-4,000",-2.22%,100,"288,726","164,049",49.32,"967,862",28.71,106.72,
10,기아,"66,600",-800,-1.19%,"5,000","269,972","405,363",36.72,"1,554,213",5.10,14.69,
11,셀트리온,"187,000",-500,-0.27%,"1,000","263,281","140,792",21.63,"427,655",46.79,16.04,
12,POSCO홀딩스,"281,000","-2,500",-0.88%,"5,000","237,645","84,571",52.50,"693,058",3.39,13.97,
13,삼성물산,"121,500",-500,-0.41%,100,"227,068","186,887",16.85,"270,050",14.47,5.40,
14,카카오,"50,800","-1,300",-2.50%,100,"226,231","445,336",27.02,"2,272,092",10.16,17.10,
15,현대모비스,"220,500",0,0.00%,"5,000","207,899","94,285",36.40,"239,427",8.79,6.87,
16,KB금융,"49,100",0,0.00%,"5,000","200,768","408,897",73.33,"1,312,114",4.34,9.80,
17,신한지주,"37,550",150,+0.40%,"5,000","192,607","512,934",61.57,"1,494,277",4.66,8.80,
18,포스코케미칼,"219,500","3,000",+1.39%,500,"170,032","77,463",8.76,"1,061,401",124.01,7.92,
19,SK이노베이션,"181,000","-2,000",-1.09%,"5,000","167,363","92,466",26.10,"279,559",6.62,1.91,
20,SK,"220,000","-3,500",-1.57%,200,"163,129","74,149",22.71,"121,020",4.94,10.19,
21,LG전자,"91,900","-1,300",-1.39%,"5,000","150,392","163,648",26.22,"798,792",9.02,6.32,
22,삼성생명,"67,600",-100,-0.15%,500,"135,200","200,000",13.23,"263,654",18.53,4.01,
23,KT&G,"94,400",0,0.00%,"5,000","129,604","137,292",43.67,"377,059",12.24,10.74,
24,LG,"82,300",-100,-0.12%,"5,000","129,459","157,301",36.24,"187,326",5.66,12.36,
25,고려아연,"610,000","-10,000",-1.61%,"5,000","121,165","19,863",21.28,"74,505",13.51,11.07,
26,하나금융지주,"40,550",-650,-1.58%,"5,000","119,989","295,903",70.57,"1,297,204",3.47,10.86,
27,한국전력,"18,150",-450,-2.42%,"5,000","116,516","641,964",14.35,"2,315,056",-0.75,-7.99,
28,SK텔레콤,"50,400",-800,-1.56%,100,"110,292","218,833",46.53,"486,944",8.69,13.63,
29,카카오뱅크,"22,950",-250,-1.08%,"5,000","109,387","476,634",12.73,"4,934,872",50.89,4.91,
30,삼성전기,"136,500","-2,000",-1.44%,"5,000","101,957","74,694",27.89,"737,884",10.27,14.29,
31,두산에너빌리티,"15,850",-100,-0.63%,"5,000","101,172","638,308",11.26,"10,912,172",119.17,10.67,
32,S-Oil,"89,000","-3,000",-3.26%,"2,500","100,199","112,583",80.82,"476,632",4.14,21.76,
33,HMM,"20,250",-250,-1.22%,"5,000","99,030","489,039",9.96,"2,784,068",0.85,88.62,
34,삼성에스디에스,"127,000",0,0.00%,500,"98,270","77,378",13.65,"135,666",12.92,8.80,
35,현대중공업,"110,000","-3,000",-2.65%,"5,000","97,650","88,773",5.78,"258,382",-13.22,-14.87,
36,KT,"36,550",-450,-1.22%,"5,000","95,436","261,112",44.18,"807,448",6.63,9.36,
37,삼성화재,"201,000","-1,500",-0.74%,500,"95,223","47,375",50.25,"63,706",8.81,7.09,
38,한화솔루션,"49,600",250,+0.51%,"5,000","94,874","191,278",24.61,"2,908,798",27.30,8.79,
39,크래프톤,"192,000","-3,000",-1.54%,100,"94,218","49,072",29.52,"181,262",14.92,17.86,
40,대한항공,"24,550",-150,-0.61%,"5,000","90,398","368,221",15.90,"1,422,863",5.74,11.60,
41,LG생활건강,"577,000","-2,000",-0.35%,"5,000","90,117","15,618",36.73,"86,374",17.13,16.65,
42,엔씨소프트,"410,000","-1,000",-0.24%,500,"90,011","21,954",43.14,"86,848",17.68,12.62,
43,우리금융지주,"11,800",0,0.00%,"5,000","85,911","728,061",40.49,"2,699,932",2.93,10.59,
44,기업은행,"10,550",0,0.00%,"5,000","78,524","744,301",13.54,"711,760",3.47,9.21,
45,LG이노텍,"287,500","-4,500",-1.54%,"5,000","68,043","23,667",23.85,"201,311",7.06,30.94,
46,현대글로비스,"179,500","-1,000",-0.55%,500,"67,312","37,500",46.97,"88,610",6.50,14.41,
47,SK바이오사이언스,"86,500",800,+0.93%,500,"66,418","76,784",4.31,"355,076",19.81,38.08,
48,아모레퍼시픽,"111,500","-1,000",-0.89%,500,"65,219","58,493",24.22,"324,552",91.62,4.20,
49,CJ제일제당,"422,000","4,500",+1.08%,"5,000","63,529","15,054",24.95,"51,748",10.65,10.76,
50,카카오페이,"45,950","-1,350",-2.85%,500,"60,976","132,701",42.42,"1,317,810",-232.07,-2.45,
51,롯데케미칼,"176,500","1,500",+0.86%,"5,000","60,496","34,275",25.17,"221,804",11.78,9.87,
52,F&F,"152,000","1,500",+1.00%,100,"58,227","38,307",12.05,"191,534",15.90,N/A,
53,SK스퀘어,"39,100",0,0.00%,100,"55,314","141,468",42.11,"323,199",2.42,N/A,
54,KODEX 200,"31,145",-395,-1.25%,0,"54,940","176,400",5.73,"5,445,123",N/A,N/A,
55,한국조선해양,"75,900","-1,200",-1.56%,"5,000","53,717","70,773",20.23,"197,301",-7.74,-8.95,
56,하이브,"126,500","-4,000",-3.07%,500,"52,312","41,353",15.41,"160,971",22.29,6.83,
57,SK바이오팜,"65,900","2,700",+4.27%,500,"51,608","78,313",6.44,"197,307",-66.36,15.75,
58,LG유플러스,"11,800",-200,-1.67%,"5,000","51,520","436,611",38.04,"674,427",8.05,9.47,
59,LG디스플레이,"14,300",50,+0.35%,"5,000","51,168","357,816",19.63,"2,035,397",24.32,9.68,
60,강원랜드,"23,700",150,+0.64%,500,"50,704","213,940",22.54,"511,738",123.44,-0.33,
61,삼성엔지니어링,"25,550",-400,-1.54%,"5,000","50,078","196,000",40.85,"1,168,641",11.75,20.67,
62,HD현대,"61,500","-1,600",-2.54%,"1,000","48,581","78,993",17.70,"159,826",5.46,-1.99,
63,삼성중공업,"5,320",-80,-1.48%,"1,000","46,816","880,000",15.89,"2,152,752",-7.03,-36.89,
64,한국항공우주,"47,200",-850,-1.77%,"5,000","46,008","97,475",25.36,"746,802",54.25,5.19,
65,현대건설,"40,500",-250,-0.61%,"5,000","45,099","111,356",23.85,"826,667",7.99,5.89,
66,맥쿼리인프라,"11,050",100,+0.91%,0,"44,735","404,846",13.25,"606,265",N/A,N/A,
67,GS,"48,100",-350,-0.72%,"5,000","44,692","92,915",25.25,"193,045",2.06,15.55,
68,금호석유,"144,500","-2,000",-1.37%,"5,000","42,359","29,314",21.40,"112,034",3.08,47.76,
69,한온시스템,"7,930",-260,-3.17%,100,"42,330","533,800",16.55,"1,260,292",22.66,13.83,
70,SK아이이테크놀로지,"59,200","-1,500",-2.47%,"1,000","42,208","71,298",8.23,"438,662",327.07,5.57,
71,유한양행,"57,100",-200,-0.35%,"1,000","41,815","73,231",20.27,"188,174",43.42,5.45,
72,넷마블,"48,200",600,+1.26%,100,"41,430","85,954",23.29,"334,711",-177.86,4.29,
73,현대제철,"30,900",-450,-1.44%,"5,000","41,235","133,446",21.65,"508,822",2.13,8.54,
74,한국타이어앤테크놀로지,"33,000",-100,-0.30%,500,"40,879","123,875",35.82,"319,164",5.99,7.69,
75,코웨이,"55,200","-1,300",-2.30%,500,"40,737","73,800",61.55,"170,726",8.29,27.41,
76,오리온,"103,000","4,900",+4.99%,500,"40,722","39,536",35.93,"271,840",13.94,12.75,
77,미래에셋증권,"6,580",-60,-0.90%,"5,000","40,488","615,316",12.76,"880,125",5.34,11.66,
78,SKC,"106,000",-500,-0.47%,"5,000","40,140","37,868",16.44,"452,810",13.68,11.60,
79,DB손해보험,"55,400",-900,-1.60%,500,"39,223","70,800",43.11,"185,304",4.09,13.38,
80,메리츠화재,"33,600","-1,000",-2.89%,500,"38,231","113,783",11.13,"116,392",4.99,26.12,
81,롯데지주,"35,500",50,+0.14%,200,"37,243","104,909",10.02,"139,917",11.17,4.61,
82,한화에어로스페이스,"73,100",0,0.00%,"5,000","37,011","50,630",22.58,"711,841",23.96,9.21,
83,삼성카드,"31,200",0,0.00%,"5,000","36,148","115,859",6.49,"62,834",6.18,7.53,
84,두산밥캣,"36,000",200,+0.56%,500,"36,090","100,249",26.48,"283,656",8.62,9.19,
85,메리츠금융지주,"27,950",-600,-2.10%,500,"35,656","127,572",6.55,"260,237",3.75,22.33,
86,현대미포조선,"88,800","-1,500",-1.66%,"5,000","35,469","39,942",19.49,"529,131",-84.17,-7.11,
87,에스디바이오센서,"32,900",200,+0.61%,500,"33,976","103,271",14.82,"404,750",2.92,72.47,
88,한국가스공사,"36,450",250,+0.69%,"5,000","33,648","92,313",10.80,"508,338",2.45,11.63,
89,한미약품,"260,500","1,000",+0.39%,"2,500","32,088","12,318",15.60,"31,947",40.72,8.75,
90,현대오토에버,"116,000",0,0.00%,500,"31,812","27,424",2.18,"36,649",41.08,7.26,
91,KODEX KOFR금리액티브(합성),"101,225",10,+0.01%,0,"31,258","30,880",2.01,"36,128",N/A,N/A,
92,TIGER 차이나전기차SOLACTIVE,"13,415",-370,-2.68%,0,"31,021","231,240",1.32,"3,890,729",N/A,N/A,
93,NH투자증권,"9,300",0,0.00%,"5,000","30,845","331,666",12.87,"383,117",4.79,14.77,
94,BGF리테일,"178,000",-500,-0.28%,"1,000","30,765","17,284",32.46,"45,369",18.27,19.61,
95,GS리테일,"28,850",50,+0.17%,"1,000","30,211","104,718",7.42,"228,597",3.74,25.58,
96,현대차2우B,"82,500",-100,-0.12%,"5,000","30,100","36,485",60.18,"42,263",3.66,N/A,
97,한국금융지주,"54,000",200,+0.37%,"5,000","30,092","55,726",35.52,"199,553",2.27,27.12,
98,삼성증권,"33,450",-200,-0.59%,"5,000","29,871","89,300",27.12,"231,042",4.26,16.94,
99,쌍용C&E,"5,870",40,+0.69%,100,"29,577","503,860",2.91,"566,252",24.98,11.12,
100,일진머티리얼즈,"61,400","-1,900",-3.00%,500,"28,312","46,111",9.91,"391,539",48.08,7.85,
101,씨에스윈드,"67,100","1,200",+1.82%,500,"28,297","42,171",10.64,"805,886",162.86,10.13,
102,포스코인터내셔널,"22,800",-500,-2.15%,"5,000","28,130","123,375",8.68,"735,267",5.29,10.86,
103,현대로템,"25,600",900,+3.64%,"5,000","27,940","109,142",7.87,"5,136,658",33.42,5.01,
104,현대해상,"31,200",-700,-2.19%,500,"27,893","89,400",34.41,"608,308",5.10,8.82,
105,메리츠증권,"4,290",-185,-4.13%,"1,000","27,444","639,711",14.16,"1,679,334",3.58,15.77,
106,제일기획,"23,750",100,+0.42%,200,"27,322","115,041",32.71,"279,532",14.88,15.58,
107,한진칼,"40,350",-600,-1.47%,"2,500","26,938","66,762",16.36,"92,244",3.39,1.11,
108,호텔신라,"66,700",-300,-0.45%,"5,000","26,178","39,248",15.67,"371,951",79.98,4.51,
109,팬오션,"4,790",40,+0.84%,"1,000","25,606","534,570",16.89,"3,872,870",3.24,17.16,
110,이마트,"89,300",-700,-0.78%,"5,000","24,893","27,876",28.09,"87,974",1.42,16.25,
111,LG화학우,"323,000","-6,000",-1.82%,"5,000","24,835","7,689",70.15,"6,769",11.39,N/A,
112,롯데쇼핑,"87,600","-1,800",-2.01%,"5,000","24,781","28,289",13.00,"69,681",-21.57,-2.94,
113,에스원,"63,500",600,+0.95%,500,"24,129","37,999",53.45,"76,656",19.66,9.13,
114,OCI,"101,000","-1,500",-1.46%,"5,000","24,088","23,849",12.91,"460,489",3.23,23.93,
115,HL만도,"51,000",-500,-0.97%,"1,000","23,948","46,957",22.68,"383,240",22.72,9.31,
116,한전기술,"62,600","-1,500",-2.34%,200,"23,926","38,220",1.79,"505,386",140.36,3.25,
117,한미사이언스,"34,750",200,+0.58%,500,"23,847","68,624",2.42,"76,474",46.27,6.37,
118,KODEX 200선물인버스2X,"3,120",60,+1.96%,0,"23,456","751,800",2.19,"156,040,253",N/A,N/A,
119,키움증권,"85,800",-200,-0.23%,"5,000","22,496","26,220",24.98,"60,229",3.72,25.38,
120,아모레G,"27,200",-700,-2.51%,500,"22,429","82,458",14.37,"338,689",60.99,5.49,
121,한솔케미칼,"197,000",0,0.00%,"5,000","22,330","11,335",38.69,"52,954",14.73,23.88,
122,KCC,"250,000","-6,000",-2.34%,"5,000","22,216","8,886",11.78,"36,158",-8.75,-0.92,
123,두산퓨얼셀,"33,750",-600,-1.75%,100,"22,104","65,494",14.47,"722,747",286.02,1.69,
124,CJ,"75,700",-600,-0.79%,"5,000","22,087","29,177",17.95,"42,407",8.34,5.66,
125,대한전선,"1,760",-25,-1.40%,100,"21,903","1,244,473",2.02,"12,446,947",46.32,7.78,
126,LS,"67,600","-1,300",-1.89%,"5,000","21,767","32,200",13.67,"102,735",6.78,8.15,
127,한화시스템,"11,500",-200,-1.71%,"5,000","21,726","188,919",3.82,"593,272",117.35,6.04,
128,동서,"21,700",-250,-1.14%,500,"21,635","99,700",3.10,"53,179",18.64,8.05,
129,BNK금융지주,"6,620",-40,-0.60%,"5,000","21,577","325,935",35.30,"1,018,308",2.61,8.76,
130,LIG넥스원,"97,700","-1,000",-1.01%,"5,000","21,494","22,000",14.28,"198,405",14.46,14.63,
131,영원무역,"48,200",-150,-0.31%,500,"21,358","44,311",29.38,"69,203",4.68,14.71,
132,한화,"28,350",-150,-0.53%,"5,000","21,251","74,959",17.65,"197,838",2.65,20.22,
133,신세계,"208,500","-3,500",-1.65%,"5,000","20,527","9,845",27.12,"107,269",5.07,8.54,
134,GS건설,"23,800",-150,-0.63%,"5,000","20,368","85,581",33.55,"852,625",4.20,9.32,
135,TIGER 200,"31,170",-380,-1.20%,0,"20,198","64,800",0.29,"1,815,953",N/A,N/A,
136,대우조선해양,"18,800",-300,-1.57%,"5,000","20,171","107,291",2.70,"350,672",-1.80,-55.86,
137,휠라홀딩스,"33,100",-300,-0.90%,"1,000","20,109","60,752",41.85,"165,868",9.58,16.20,
138,코스모신소재,"65,500",-600,-0.91%,"1,000","20,076","30,651",9.42,"318,027",81.27,9.42,
139,DB하이텍,"44,850",250,+0.56%,"5,000","19,913","44,399",23.93,"608,963",3.77,33.35,
140,대우건설,"4,785",35,+0.74%,"5,000","19,888","415,623",12.02,"1,158,983",4.74,16.47,
141,TIGER 미국나스닥100,"66,785",-765,-1.13%,0,"19,862","29,740",0.00,"170,519",N/A,N/A,
142,KODEX 200TR,"10,455",-120,-1.13%,0,"19,854","189,900",0.09,"55,000",N/A,N/A,
143,현대차우,"81,200",0,0.00%,"5,000","19,778","24,357",57.15,"52,949",3.60,N/A,
144,KODEX 레버리지,"14,410",-340,-2.31%,0,"19,677","136,550",1.82,"28,173,374",N/A,N/A,
145,CJ대한통운,"84,200","-2,600",-3.00%,"5,000","19,208","22,812",17.94,"127,363",10.54,1.59,
146,하이트진로,"27,250",0,0.00%,"5,000","19,111","70,134",13.09,"185,781",20.29,6.62,
147,한화생명,"2,195",15,+0.69%,"5,000","19,064","868,530",7.29,"1,135,018",1.81,10.79,
148,농심,"308,000","7,500",+2.50%,"5,000","18,735","6,083",14.02,"30,494",16.53,4.73,
149,금양,"31,950","-8,150",-20.32%,500,"18,547","58,050",3.30,"12,343,857",103.06,13.57,
150,KODEX 삼성그룹,"9,135",-100,-1.08%,0,"18,288","200,200",1.34,"238,769",N/A,N/A,
151,TIGER CD금리투자KIS(합성),"51,425",15,+0.03%,0,"17,858","34,726",0.00,"159,579",N/A,N/A,
152,오뚜기,"442,500","1,500",+0.34%,"5,000","17,735","4,008",11.12,"3,617",10.87,8.91,
153,대웅제약,"151,000","-4,500",-2.89%,"2,500","17,496","11,587",8.55,"58,187",24.06,4.39,
154,TIGER 미국S&P500,"12,950",-120,-0.92%,0,"17,152","132,450",0.13,"1,276,842",N/A,N/A,
155,현대위아,"61,800","-1,000",-1.59%,"5,000","16,807","27,195",10.39,"118,634",7.43,1.96,
156,대성홀딩스,"103,000","2,500",+2.49%,"1,000","16,572","16,089",4.29,"31,375",72.23,3.61,
157,서울가스,"330,000","1,500",+0.46%,"5,000","16,500","5,000",4.46,"23,863",81.54,0.80,
158,효성첨단소재,"363,000","4,500",+1.26%,"5,000","16,262","4,480",6.46,"71,000",6.94,54.69,
159,TIGER TOP10,"10,045",-210,-2.05%,0,"16,137","160,650",4.56,"161,868",N/A,N/A,
160,LS ELECTRIC,"53,600",-100,-0.19%,"5,000","16,080","30,000",12.71,"73,106",17.39,5.86,
161,LX인터내셔널,"41,100",250,+0.61%,"5,000","15,930","38,760",31.24,"198,916",3.04,22.49,
162,롯데정밀화학,"61,500",800,+1.32%,"5,000","15,867","25,800",19.81,"126,589",3.24,30.43,
163,SK케미칼,"90,000",-600,-0.66%,"5,000","15,508","17,231",18.06,"50,373",11.98,11.19,
164,한전KPS,"33,800",-250,-0.73%,200,"15,210","45,000",5.48,"195,123",22.43,9.12,
165,효성,"72,100",-200,-0.28%,"5,000","15,192","21,071",4.98,"53,903",5.08,18.04,
166,두산,"91,500",-700,-0.76%,"5,000","15,119","16,524",6.37,"129,267",-18.44,11.08,
167,KODEX 단기채권PLUS,"104,230",20,+0.02%,0,"14,949","14,342",0.01,"11,487",N/A,N/A,
168,녹십자,"126,000",-500,-0.40%,"5,000","14,725","11,687",22.86,"36,216",11.80,10.30,
169,TIGER 단기통안채,"101,605",30,+0.03%,0,"14,677","14,445",5.38,"580,595",N/A,N/A,
170,에스엘,"31,500",-700,-2.17%,500,"14,631","46,449",16.28,"172,350",14.36,6.63,
171,JB금융지주,"7,410",50,+0.68%,"5,000","14,596","196,983",26.99,"297,041",2.66,12.80,
172,LX세미콘,"89,700","-1,000",-1.10%,500,"14,589","16,264",29.52,"203,335",4.13,44.49,
173,쌍용차,"8,760",0,0.00%,"5,000","14,578","166,414",26.89,0,-1.26,305.77,
174,DL이앤씨,"37,650",-200,-0.53%,"5,000","14,568","38,694",22.98,"144,563",3.09,N/A,
175,현대두산인프라코어,"7,180",-180,-2.45%,"1,000","14,199","197,763",10.44,"7,245,850",2.88,24.63,
176,TIGER 미국필라델피아반도체나스닥,"9,025",-175,-1.90%,0,"13,962","154,700",0.06,"720,125",N/A,N/A,
177,현대일렉트릭,"38,400",200,+0.52%,"5,000","13,842","36,047",12.52,"275,927",-28.98,-5.08,
178,현대백화점,"58,300","-1,000",-1.69%,"5,000","13,644","23,402",23.64,"59,380",6.38,4.36,
179,DL,"64,000",-600,-0.93%,"5,000","13,412","20,956",10.07,"34,279",8.62,26.52,
180,동원시스템즈,"46,200",-400,-0.86%,"5,000","13,394","28,991",13.28,"10,077",28.82,6.95,
181,롯데칠성,"143,500","3,500",+2.50%,500,"13,315","9,279",12.83,"34,319",8.76,9.96,
182,영풍,"720,000","-23,000",-3.10%,"5,000","13,263","1,842",3.84,"19,963",7.40,3.66,
183,TIGER 2차전지테마,"20,370",-190,-0.92%,0,"13,251","65,050",0.20,"911,255",N/A,N/A,
184,효성티앤씨,"305,500","3,500",+1.16%,"5,000","13,221","4,328",9.98,"29,492",2.70,76.22,
185,KODEX 2차전지산업,"22,200",-105,-0.47%,0,"13,187","59,400",0.24,"1,985,893",N/A,N/A,
186,코오롱인더,"45,750",-250,-0.54%,"5,000","12,590","27,519",17.64,"120,411",7.25,8.20,
187,일진하이솔루스,"34,550",100,+0.29%,500,"12,546","36,313",1.53,"138,539",140.45,4.97,
188,TIGER 미국테크TOP10 INDXX,"8,940",-155,-1.70%,0,"12,494","139,750",0.00,"941,881",N/A,N/A,
189,삼천리,"302,500","4,000",+1.34%,"5,000","12,266","4,055",13.80,"25,060",16.33,4.52,
190,롯데제과,"130,000","1,000",+0.78%,500,"12,265","9,435",14.53,"19,833",25.25,2.88,
191,솔루스첨단소재,"34,800",350,+1.02%,100,"12,219","35,111",5.24,"320,815",156.05,4.00,
192,후성,"12,950",-100,-0.77%,500,"11,993","92,607",7.26,"1,113,913",16.09,9.61,
193,한국앤컴퍼니,"12,450",0,0.00%,500,"11,819","94,935",9.19,"94,615",5.23,5.53,
194,동국제강,"12,300",0,0.00%,"5,000","11,738","95,433",23.63,"294,141",1.48,23.41,
195,한미반도체,"11,850",-250,-2.07%,100,"11,722","98,920",4.96,"191,651",10.39,34.59,
196,대덕전자,"23,550",-900,-3.68%,500,"11,638","49,417",20.08,"688,685",9.15,9.55,
197,대웅,"19,850",-500,-2.46%,500,"11,541","58,142",4.45,"52,353",10.24,11.13,
198,DGB금융지주,"6,790",-50,-0.73%,"5,000","11,485","169,146",44.21,"528,234",2.25,9.63,
199,TIGER MSCI Korea TR,"12,945",-185,-1.41%,0,"11,405","88,100",0.01,"1,623",N/A,N/A,
200,신풍제약,"21,500",-450,-2.05%,500,"11,392","52,985",6.07,"276,584",-50.83,-3.19,
